City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1369,Sagua La Grande,CU,77.99,moderate rain,22.8067,-80.0756,Hotel Telégrafo
1370,Tsiroanomandidy,MG,72.34,light rain,-18.7667,46.0333,Hotel Ravinala
1371,Toumodi,CI,80.69,light rain,6.5613,-5.0158,Hotel Akanza
1374,Quezon,PH,72.34,overcast clouds,7.7303,125.0989,LIBRE INN
1375,Aloleng,PH,82.04,few clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
1377,Ipixuna,BR,82.31,light rain,-1.7625,-48.8043,Chalé do Mato
1382,Buta,CD,82.2,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
1384,Mount Pleasant,US,71.01,clear sky,32.7941,-79.8626,Best Western Patriots Point
1385,Angleton,US,84.33,clear sky,29.1694,-95.4319,La Quinta Inn & Suites by Wyndham Angleton
1389,Vieux-Habitants,GP,83.77,broken clouds,16.0589,-61.7659,Gîtes Dardanelle
1392,Kudahuvadhoo,MV,81.9,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
1393,Hue,VN,80.71,few clouds,16.4667,107.6,Saigon Morin Hotel
1396,Boca Do Acre,BR,80.83,light rain,-8.7522,-67.3978,Hotel Sao Pedro
1397,Nabire,ID,75.11,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
1403,Balabac,PH,81.3,few clouds,7.9868,117.0645,Batalla’s Lodging House
1404,Bosaso,SO,77.77,clear sky,11.2842,49.1816,Red Sea Hotel
1405,Tarauaca,BR,81.59,overcast clouds,-8.1614,-70.7656,Flat Temporada
1411,Japura,ID,75.61,clear sky,-0.3167,102.35,Rumah mbah Jamah
1413,Nova Vicosa,BR,84.72,scattered clouds,-17.8919,-39.3719,Pousada Porto do Sol
1416,Matara,LK,77.49,clear sky,5.9485,80.5353,Amaloh Boutique Resort
1418,San Ignacio,BZ,78.94,clear sky,17.1561,-89.0714,Rainforest Haven Inn
1424,Baracoa,CU,80.4,broken clouds,20.3467,-74.4958,Hostal Rio Miel
1428,Arlit,NE,87.08,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
1435,Ibirama,BR,87.31,scattered clouds,-27.0569,-49.5178,Hotel Soralete - Grupo Rosablue
1436,Alugan,PH,79.29,overcast clouds,12.2188,125.4808,JM Lodge
1437,Phuntsholing,BT,73.0,few clouds,26.8516,89.3884,Hotel White House
1438,Dickinson,US,84.36,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
